Sistema,Ambiente,Modulo,Pod,Uso_CPU,Hora,Minuto,Hash
cadmei,cadmei-prd,activemq-artemis,activemq-artemis-74b969db9d-kllrj,0.0681146991303283,23,15,c84d6c28aa053c9000e49dac407b17ee
rendavar,rendavar-revarhom,activemq-revar,activemq-revar-659c858b5c-mhns2,0.100541558711325,23,15,87255aeaab0550c89f64c2d2608e3548
mapasgovbr,mapasgovbr-dsv,airflow-scheduler,airflow-scheduler-7d5659f98c-mr6hx,2.665111364686218,23,15,53b2aef2ae2d4e1bdb84315a60ac6712
biovoz,biovoz-t,airflow-webserver,airflow-webserver-6d9cf87654-lwbg7,0.2466140911686928,23,15,914f123e097895c95b3f13649897a4a7
custos,custos-d,airflow-webserver,airflow-webserver-696489d47b-xng8m,0.2591842237447522,23,15,dffe60147f77e98539f9e39f4994e1ab
neoid,neoid-p,api,api-68bb77874-t6kg7,0.0094239407871066,23,15,b1f8f52fa1452b7e8953360270e86606
neoid,neoid-p,api,api-68bb77874-xh4lv,0.0227071247522397,23,15,6096e3488387e69289a82d654bce732f
sigepe-servidor,sigepe-servidor-pro,api-cadastro,api-cadastro-68b9769666-vt9hw,0.0108312710501688,23,15,47f677425069b597530503d9c7f0474a
sigepe-servidor,sigepe-servidor-mon,api-prometheus,api-prometheus-7c5c76df4c-2rkpq,0.0001043446433773,23,15,dec4883e291046631f4ed7e8182ebd32
scaibama,scaibama-t1,apicorp-registry,apicorp-registry-69b987b85c-f5z5m,0.0004464345006135,23,15,ff89b236b53b1b4b8a88d893a1724282
scaibama,scaibama-val2,apicorp-registry,apicorp-registry-54bcb9cdf7-5l75d,0.0005580016700549,23,15,b4af8ac9dc7ad5762990d1f7d728f4a9
scaibama,scaibama-h,apicorp-registry,apicorp-registry-6c7fc5445c-wvnhn,0.0007611952155783,23,15,6db783081354c20dcded312a7cfa91ee
scaibama,scaibama-p,apicorp-registry,apicorp-registry-666d9c4c8c-hllm8,2.252793111063993e-05,23,15,db163b46239b25ad9eb933da37bd1e07
portemp,portemp-production,arealogada-backend,arealogada-backend-66bfd9dcc6-q5zv7,0.0004209454848871,23,15,564364e7b7926b52a473961832c4a1cc
procdecisorio,procdecisorio-p,backend,backend-c447d7db5-cr9b8,4.011347294991692e-06,23,15,ad9f6f92b9708ee1bed741b2d234923e
console,console-d,bot-kibana,bot-kibana-7c447b9999-qlm6w,0.0006801958721898,23,15,d60f34d1167553db74e52cb926014f7e
caepf,caepf-mon,caepf-pth,caepf-pth-667c96554f-mztjz,0.0007286280226397,23,15,9506b2e0f76d7695d91ccbbd9a1922b6
esmon,esmon-pr,ceph,ceph-6465966654-522tn,0.1977793382170884,23,15,ac4147a913ea1e5803578bea8ee4d1bc
chatrfb,chatrfb-mon,chatrfb-prometheus,chatrfb-prometheus-7945496659-ncfcz,0.075435016479367,23,15,cb3293284d87f614d86448b1b2f84439
carneleaoweb,carneleaoweb-mon,clweb-prometheus,clweb-prometheus-7f4c6469cd-zq7pf,0.0028272785073619,23,15,60d03626d732bb7f9a82eb576c02070b
cnbs,cnbs-p,cnbs-kibana,cnbs-kibana-5bb4486f9-dqqsn,7.191426192904023e-05,23,15,3e751e4d49c62a4626f68f9c7dda5a4a
cnbs,cnbs-t,cnbs-kibana,cnbs-kibana-cb75c5d8f-j5xjv,0.000311645671308,23,15,3e15150589d9ef21bacbcccdb53d3e80
cnbs,cnbs-h,cnbs-kibana,cnbs-kibana-74b47dc547-rmh7z,7.81574745650583e-05,23,15,7190976ba497341414c81a9d4deaadae
cnetmobile,cnetmobile-pro,cnet-comprasnet-riscos,cnet-comprasnet-riscos-7f67f98df7-t62gn,0.0173695135976776,23,15,fd652ed862b3da12ec5e1b84ca49a7fd
cnetmobile,cnetmobile-pro,cnet-comprasnet-riscos,cnet-comprasnet-riscos-7f67f98df7-wclvx,0.0023141433081167,23,15,f7e6dd3c17090183b78398d7c75b508b
cnetmobile,cnetmobile-pro,cnet-comprasnet-riscos,cnet-comprasnet-riscos-7f67f98df7-rcl8f,0.0031883859059697,23,15,389838d84d088e35a7f0ffc1f2a9d365
cnetmobile,cnetmobile-pro,cnet-comprasnet-riscos,cnet-comprasnet-riscos-7f67f98df7-5v27f,0.0005259900012803,23,15,ab464dcc9af145e8fa4cd1b4e03c11dd
cnetmobile,cnetmobile-pro,cnet-nats-server,cnet-nats-server-5dbbbdd9f5-br6pq,0.0021822487119511,23,15,dcf5cbdc163d00aa053c81fc44f1e3c0
cnetmobile,cnetmobile-mon,cnetmobile-prometheus,cnetmobile-prometheus-675f949994-bm6c8,0.0522173809457407,23,15,0c8b733641afa6f9931a9d08e955709b
fgtsd,fgtsd-m,comu-prometheus,comu-prometheus-7d98d4fc7-m5btx,0.0023968525059333,23,15,823b66bf6238c29035c2a58577d709ba
metallb,metallb-system,controller,controller-8569756f47-tmq8x,0.0608990102198226,23,15,c07203137e7a805592e86e7aeae3963e
mdmservices,mdmservices-p,dado-referencia,dado-referencia-55bf664d68-77sm5,3.159046688307229,23,15,742a7b1a4ef8aed37d4ce99a3a7bcda9
dashboardcnpj,dashboardcnpj-mon,dashboardcnpj-mon,dashboardcnpj-mon-66ff6664d8-8lw45,0.0002257613518986,23,15,f110078b4229028a7cb8a4dd24e8a097
esocialweb,esocialweb-mon,datalake-esocialweb-grafana,datalake-esocialweb-grafana-849f9c896c-qn5g8,2.6957535956419453e-05,23,15,61d7610b577e267f5fc19ae1153cf189
labcta,labcta-dedatsearch,dedatsearch-kibana,dedatsearch-kibana-7765d6f85-fq2bz,0.0006561117243517,23,15,1a54eec2da86dda8b3f5d0e800b94c33
carteiradigital,carteiradigital-p,denatrandigital-backend,denatrandigital-backend-855c6cf498-zpz6g,0.0098319535592289,23,15,b39e48a6cdf2ff5dbec55889d12794b5
mdmservices,mdmservices-v,dm-empregado,dm-empregado-6ccbb4d6cd-prchf,7.399124559705672,23,15,d8eaabdaf5eac6555d755178b5d0452d
mdmservices,mdmservices-p,dm-empregado,dm-empregado-7f554555b-wtsc5,32.35873371084237,23,15,a1482176baa4a760024fbb97c1d72666
mdmservices,mdmservices-p,dm-empregado,dm-empregado-7f554555b-r9vx5,5.15656574282325,23,15,14fea8f7653c5d823f27cd1ac838296c
mdmservices,mdmservices-p,dm-empregado,dm-empregado-7f554555b-wz2ms,24.42841099556089,23,15,3b40e53363c3adafe85775e1602a57c6
mdmservices,mdmservices-p,dm-empregado,dm-empregado-7f554555b-42ggt,39.802798259187306,23,15,95de2ee61ebb649477d8b908f0189fc7
dolme,dolme-p,dme,dme-5b84b7bc87-6w8mm,0.0001538925932613,23,15,95aa1433dd8a66eb37a095ceb57bdc91
issqndpi,issqndpi-mon,dpi-grafana,dpi-grafana-7b99b9f5ff-s7r49,0.0002200511857064,23,15,e95e585e0a6570fc4a833d5ca22c88d3
sinesp-delegaciavirtual,sinesp-delegaciavirtual-mon,dv-prometheus,dv-prometheus-6c85f64b4d-7gp8x,0.0379284708738882,23,15,fd1d25cfebbdc391e95dfb7e86d67430
ibmmqcorp,ibmmqcorp-p,e-sp-corp-08276,e-sp-corp-08276-687df6976d-k52p9,0.0254554994837173,23,15,c60cd2b937690ad575e27dc9887ff128
ibmmqcorp,ibmmqcorp-h,e-sp-corp-08276-2,e-sp-corp-08276-2-58dc9697f6-48kjj,0.0015291313033591,23,15,b7632584ae35d80a5b1ffbe0516f9c57
ibmmqcorp,ibmmqcorp-h,e-sp-corp-92116-1,e-sp-corp-92116-1-cf846f7b9-82xr4,4.287559173673872e-05,23,15,25371f7aaf836c5bbb5af61c36169dd8
ibmmqcorp,ibmmqcorp-h,e-sp-corp-92116-2,e-sp-corp-92116-2-559468f6fc-wlg9z,0.0001422913152964,23,15,2dd930f677a74b5146028908126cf992
ibmmqcorp,ibmmqcorp-h,e-sp-corp-92116-3,e-sp-corp-92116-3-646465c4bf-z7dgn,8.054156764139671e-05,23,15,e628e932d2f78a92c38fc7e703e7388a
assiste,assiste-p,fileapi,fileapi-699b78f98c-c6hgj,5.291604305195515,23,15,8e1661dc2a46d190762c0085c1ca8264
coletordigitais,coletordigitais-log,gra,gra-64dd49fc9b-v6xwt,0.0002561883739924,23,15,4084bcdfbda817d49451a94c5d7b2d30
fibra,fibra-m,grafana,grafana-55898c8f88-w2k9f,0.0018455357926685,23,15,d7f41e418691255c4d00da468e3ec21a
apianalytics,apianalytics-p,grafana,grafana-666fbd44b6-8t55j,0.0007255165081157,23,15,2971ddead61098cccf9425d6e874f89b
dpcdigital,dpcdigital-m,grafana,grafana-589f5b48dd-jj7r5,0.0001032415904103,23,15,ba6b2270cda363bc4a897240dae36859
scaibama,scaibama-mon,grafana,grafana-5c5c8b57c-c8l47,0.0004400045866901,23,15,4d6662520207bb6da0f89665e31daa4f
sigaibama,sigaibama-mon,grafana,grafana-f44f46754-bvxh4,0.000164771930903,23,15,a7406972e5ed5171f8dfa0dd8c932011
appgovbr,appgovbr-mon,grafana,grafana-746f968c9d-t2p9t,0.000159332552708,23,15,db8b85f095cd7535de0449b140bc5c2e
siefrest,siefrest-mon,grafana,grafana-67ff694698-5sgz4,0.0004742183576337,23,15,1b6b59a8cc0f2e99b2ec8473b9e82f1f
painelgtec,painelgtec-p,grafana,grafana-5775649448-gzjjc,0.0130498588523941,23,15,23a43343ed72953a646e60007151ac59
govbrapi,govbrapi-mon,grafana,grafana-556bdbdb4c-n2xkc,0.0018993550631424,23,15,d94bf13be22ac5b9bd2e8e47f3d36959
siscat,siscat-mon,grafana,grafana-64f88d8bf4-bxb4f,0.000265265688177,23,15,5e2903a51904459d65697e1a5d5f63c4
portalunico,portalunico-mon,grafana,grafana-6845556449-txkw8,0.0032136011749217,23,15,5f045de0600fdb61c19756e48439099b
centraldebalancos,centraldebalancos-mon,grafana,grafana-75f6656557-znpbw,0.0019132912821318,23,15,d837f5b824adecbadaa689fe433b6e34
liveness,liveness-mon,grafana,grafana-5559866d98-vpzhb,0.0014040040505053,23,15,649568941d85d37d3d8b68316dc87f33
barramentoirpf,barramentoirpf-mon,grafana,grafana-f5d59cdb7-p8874,0.0150956155481624,23,15,486c4775c644a99104c28952946348b0
pucomexmetrics,pucomexmetrics-ambdes,grafana,grafana-6d6d97478c-vlmz6,0.0030924619607174,23,15,19dc7850beb488c3b753081d764019d8
painelgtec,painelgtec-d,grafana,grafana-758bdd4f66-bcphm,0.0001940858349874,23,15,c34ba716b62fa0040e995e4b7b947de9
osmtiles,osmtiles-mon,grafana-osm,grafana-osm-6689b6c6c7-dgjxp,0.0049617534768454,23,15,ab85b50c28f8d5c4deff6412c952eb98
dedat,dedat-green,green-influx,green-influx-7899d94666-c2v7g,0.0011229447157786,23,15,54ffc2d0fa9e061d5c16a2ff213759e1
esmon,esmon-pr,haproxy,haproxy-7f89c8b8c-jpltl,0.0116405800506232,23,15,826b2d655ceda03f661c2f0bb6789012
esmon,esmon-pr,haproxy2,haproxy2-6996c66844-nj59q,0.7985622215132777,23,15,7f85198afaa0936088af8984235b2f6d
ingress,ingress-controller,ingress-default-backend,ingress-default-backend-9bfc69579-nt5fr,0.0061817770485053,23,15,c48ccfa8d2157b2e671bbe8b204e8335
ingress,ingress-controller,ingress-default-backend,ingress-default-backend-9bfc69579-xtd6f,0.00579878822476,23,15,16717af6724817bfd66f27c9486804b5
ingress,ingress-controller,ingress-default-backend,ingress-default-backend-9bfc69579-kf2n4,0.0065421342754787,23,15,9b0b8cde7a50fcd1524279db4256af60
esmon,esmon-pr,kconmon,kconmon-7dbf7c96fc-gn7jn,0.0152539396954932,23,15,7d8da7849f957188a8be0a2f3561bdd4
sigepeged,sigepeged-h,kd,kd-d96c67f-8tx47,0.000352607900203,23,15,1d88580a5060e9faf3c084cc7338d0f0
extratoirpf,extratoirpf-pro,kibana,kibana-6ffc4676b8-g8c4g,0.0004836732946478,23,15,5ea90b6e3439fc3de9534fd77ac49f09
odradek-apiserpro,odradek-apiserpro-mon,kibana,kibana-5b88545597-zmbqx,0.0002536460005592,23,15,01d3230213c3440597d9f2bb42b684ec
hendrix,hendrix-p,kibana,kibana-877968d6d-mxqlp,7.004350436562616e-05,23,15,e656387b3e2c18344bdf558986aebb59
pagtoweb,pagtoweb-monitoracao,kibana,kibana-584654665-hbrsj,0.0003489770010132,23,15,5a2198e87d006de64867acf6b4deab23
portalunico,portalunico-val,kibana,kibana-7676c9cb7f-b6bhl,0.0004282634836199,23,15,c7cfc38a2bd9b493b525ca3869c4a9c4
painelgtec,painelgtec-p,kibana,kibana-786b658c45-28nqt,0.0001223175751596,23,15,0fdaf5a161f85beee0611c7d7bd013ad
vitae,vitae-p,kibana,kibana-6ff4f4fb76-m5qnr,6.532042881958006e-05,23,15,33fcb85dd2e26ca386dca9f231a872b8
portalunico,portalunico-dev,kibana,kibana-54fbf958cf-rhh58,0.0002827843834197,23,15,04a9172ec1ed50ade62de71c6b226189
ibama-siac,ibama-siac-producao,kibana-logs,kibana-logs-695cd6759b-xdtfb,0.000174300171025,23,15,87f67bf026bbd8fe2eea1d082ed7cf6d
rdoc-pagamentos,rdoc-pagamentos-mon,kibana2,kibana2-776d559d44-2tbpf,0.0002953013960603,23,15,84f0a26dfc96d44c149d8a464cc27ff8
